text,label
"नेपालमा कोरोनाको नयाँ भेरियन्ट भेटियो, सतर्क रहन आग्रह",0
"Scientists discover cure for cancer in new plant found in Himalayas",1
"यो समाचार गलत हो, विश्वास नगर्नुहोस्",1
"The government has announced a new public holiday next week.",0
"विश्वकप फुटबलमा नेपालले आश्चर्यजनक जित हासिल गर्यो",1
"New study shows that chocolate is healthier than vegetables.",1
"स्थानीय चुनावको मिति सर्यो, अर्को महिना हुने",1
"Government to provide free internet to all citizens.",0
"A new species of bird has been discovered in Kathmandu valley.",0
"यो चिया पिउँदा सबै रोग निको हुन्छ",1
